"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"PersonenautoSTotaal_100";"PersonenautoSBrandstofBenzine_101";"PersonenautoSOverigeBrandstof_102";"PersonenautoSPerHuishouden_103";"PersonenautoSNaarOppervlakte_104";"Motorfietsen_105";"MeestVoorkomendePostcode_114";"Dekkingspercentage_115";"MateVanStedelijkheid_116";"Omgevingsadressendichtheid_117"
"0";"NL00      ";"Nederland                               ";"Land      ";"NL00      ";".";"3663210";"5505600";"4100340";"8584390";"6883820";"1700575";"1.1";"255";"654385";"         .";;"2";"2010"
"1";"GM1680    ";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";".";"4570";"8800";"5790";"14645";"11085";"3560";"1.3";"53";"1745";"         .";;"5";"281"
"2";"WK168000  ";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1";"560";"1270";"830";"2035";"1605";"430";"1.3";"139";"205";"         .";;"5";"396"
"3";"BU16800000";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1";"530";"1210";"790";"1935";"1535";"405";"1.3";"768";"195";"      9468";"1";"5";"411"
"4";"BU16800009";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1";"20";"60";"40";"100";"70";"30";"1.5";"8";"10";"      9468";"1";"5";"60"
"5";"WK168001  ";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1";"190";"590";"340";"865";"640";"225";"1.4";"48";"105";"         .";;"5";"125"
"6";"BU16800100";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1";"180";"510";"290";"755";"560";"195";"1.4";"443";"90";"      9463";"1";"5";"144"
"7";"BU16800109";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1";"20";"80";"50";"110";"80";"30";"1.3";"7";"10";"      9463";"1";"5";"36"
"8";"WK168002  ";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1";"70";"100";"130";"265";"190";"75";"1.3";"33";"25";"         .";;"5";"152"
"9";"BU16800200";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1";"60";"80";"100";"200";"145";"55";"1.4";"351";"20";"      9467";"1";"5";"126"
"10";"BU16800209";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1";"10";"20";"30";"65";"45";"20";"1.2";"9";"5";"      9467";"1";"5";"170"
"11";"WK168003  ";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1";"30";"180";"120";"260";"195";"70";"1.5";"29";"40";"         .";;"5";"52"
"12";"BU16800300";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1";;;;"260";"195";"70";"1.5";"483";"40";"      9466";"1";"5";"53"
"13";"BU16800309";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1";;;;"0";"0";"0";;;"0";"      9466";"1";"5";"22"
"14";"WK168004  ";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1";"40";"90";"90";"165";"120";"45";"1.6";"15";"25";"         .";;"5";"31"
"15";"BU16800400";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1";;;;"165";"120";"45";"1.8";"386";"25";"      9465";"1";"5";"33"
"16";"BU16800409";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1";;;;"0";"0";"0";;;"0";"      9465";"1";"5";"16"
"17";"WK168005  ";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1";"70";"150";"220";"390";"280";"110";"1.4";"67";"25";"         .";;"5";"207"
"18";"BU16800500";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1";"50";"140";"210";"370";"270";"100";"1.5";"388";"25";"      9469";"1";"5";"210"
"19";"BU16800509";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1";"10";"10";"10";"20";"10";"10";;;"0";"      9469";"1";"5";"184"
"20";"WK168006  ";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1";"80";"170";"120";"290";"215";"80";"1.6";"45";"50";"         .";;"5";"40"
"21";"BU16800600";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1";;;;"285";"210";"75";"1.6";"224";"50";"      9658";"1";"5";"40"
"22";"BU16800609";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1";;;;"5";"5";"0";;;"0";"      9658";"1";"5";"27"
"23";"WK168007  ";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1";"40";"70";"20";"95";"75";"20";"1.5";"255";"10";"         .";;"5";"34"
"24";"BU16800700";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1";"40";"70";"20";"95";"75";"20";"1.5";"427";"10";"      9656";"1";"5";"34"
"25";"BU16800709";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1";;;;"0";"0";"0";;;"0";"         .";;;
"26";"WK168008  ";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1";"20";"30";"30";"75";"50";"20";;;"15";"         .";;"5";"20"
"27";"BU16800800";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1";;;;"75";"50";"20";;;"15";"      9657";"1";"5";"21"
"28";"BU16800809";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1";;;;"0";"0";"0";;;"0";"      9657";"3";"5";"16"
"29";"WK168009  ";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1";"20";"30";"50";"85";"55";"30";"1.6";"43";"15";"         .";;"5";"28"
"30";"BU16800900";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1";;;;"85";"55";"30";"1.7";"312";"15";"      9655";"1";"5";"28"
"31";"BU16800909";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1";;;;"0";"0";"0";;;"0";"      9655";"1";"5";"24"
"32";"WK168011  ";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1";"90";"150";"70";"265";"195";"70";"1.5";"82";"40";"         .";;"5";"40"
"33";"BU16801100";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1";;;;"265";"195";"70";"1.5";"452";"40";"      9654";"1";"5";"40"
"34";"BU16801109";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1";;;;"0";"0";"0";;;"0";"      9655";"1";"5";"19"
"35";"WK168012  ";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1";"60";"90";"50";"165";"125";"45";"1.4";"60";"30";"         .";;"5";"110"
"36";"BU16801200";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1";;;;"160";"120";"45";"1.5";"267";"30";"      9659";"3";"5";"94"
"37";"BU16801209";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1";;;;"5";"5";"0";;;"0";"      9512";"1";"5";"129"
"38";"WK168013  ";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1";"10";"30";"60";"90";"65";"25";"1.5";"13";"5";"         .";;"5";"19"
"39";"BU16801300";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1";;;;"80";"60";"20";;;"5";"      9464";"1";"5";"20"
"40";"BU16801309";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1";;;;"10";"5";"5";;;"0";"      9464";"1";"5";"17"
"41";"WK168014  ";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1";"370";"590";"440";"1175";"900";"275";"1.3";"60";"115";"         .";;"5";"156"
"42";"BU16801400";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1";"280";"480";"340";"945";"735";"210";"1.3";"283";"95";"      9462";"1";"5";"203"
"43";"BU16801401";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1";"30";"30";"50";"95";"65";"30";"1.6";"174";"10";"      9462";"1";"5";"50"
"44";"BU16801409";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1";"60";"90";"40";"135";"100";"35";"1";"9";"10";"      9462";"2";"5";"61"
"45";"WK168015  ";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1";"490";"650";"300";"1060";"830";"230";"1.3";"181";"150";"         .";;"5";"212"
"46";"BU16801500";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1";"480";"630";"290";"1030";"810";"220";"1.3";"523";"140";"      9514";"1";"5";"216"
"47";"BU16801501";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1";"10";"20";"10";"30";"20";"10";;;"10";"      9514";"1";"5";"43"
"48";"BU16801509";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1";;;;"0";"0";"0";;;"0";"         .";;;
"49";"WK168016  ";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1";"110";"320";"110";"385";"300";"80";"1.3";"33";"70";"         .";;"5";"120"
"50";"BU16801600";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1";"110";"280";"110";"360";"285";"75";"1.3";"158";"70";"      9515";"1";"5";"126"
"51";"BU16801601";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1";;;;"20";"15";"5";;;"0";"      9515";"1";"5";"19"
"52";"BU16801609";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1";;;;"5";"5";"0";;;"0";"      9515";"1";"5";"78"
"53";"WK168017  ";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1";"850";"1720";"1080";"2790";"2115";"675";"1.2";"114";"265";"         .";;"4";"503"
"54";"BU16801700";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1";"840";"1700";"980";"2680";"2055";"625";"1.2";"659";"250";"      9461";"1";"4";"520"
"55";"BU16801709";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1";"10";"20";"90";"110";"60";"50";"1.4";"5";"20";"      9461";"1";"5";"40"
"56";"WK168018  ";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1";"370";"410";"190";"745";"535";"210";"1.4";"44";"115";"         .";;"5";"76"
"57";"BU16801800";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1";"210";"210";"100";"405";"295";"110";"1.4";"610";"75";"      9511";"1";"5";"98"
"58";"BU16801801";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1";"40";"30";"20";"50";"40";"15";;;"5";"      9511";"1";"5";"19"
"59";"BU16801802";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1";"90";"100";"20";"175";"120";"50";"1.7";"166";"20";"      9512";"1";"5";"76"
"60";"BU16801809";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1";"40";"80";"50";"115";"80";"35";"1.3";"8";"15";"      9511";"1";"5";"36"
"61";"WK168019  ";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1";"810";"1590";"1110";"2520";"1940";"580";"1.2";"72";"270";"         .";;"5";"366"
"62";"BU16801900";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1";"620";"1170";"820";"2055";"1615";"440";"1.2";"617";"210";"      9451";"1";"5";"451"
"63";"BU16801901";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1";"20";"60";"40";"80";"55";"20";"1.1";"158";"10";"      9458";"1";"5";"48"
"64";"BU16801902";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1";"20";"0";"30";"60";"45";"15";;;"5";"      9452";"1";"5";"12"
