ID,Trips_Per_Day,Distance_Travelled_PassengerKm_Per_Day,Time_Travelled_Minutes_Per_Day,Trips_Per_Year,Distance_Travelled_PassengerKm_Per_Year,Time_Travelled_Hours_Per_Year,TravelMotives,Population,TravelModes,Margins,RegionCharacteristics,Period
0,2.78,36.16,74.6,1015.0,13200.0,453.8,Total,Population 6 years or older,Total,Value,The Netherlands,2018
1,2.71,36.0,74.39,989.0,13140.0,452.6,Total,Population 6 years or older,Total,Value,The Netherlands,2019
2,2.35,24.88,61.96,861.0,9105.0,378.0,Total,Population 6 years or older,Total,Value,The Netherlands,2020
3,2.51,27.24,69.85,915.0,9942.0,424.9,Total,Population 6 years or older,Total,Value,The Netherlands,2021
4,2.7,30.21,72.69,984.0,11027.0,442.2,Total,Population 6 years or older,Total,Value,The Netherlands,2022
5,2.72,31.97,73.51,992.0,11669.0,447.2,Total,Population 6 years or older,Total,Value,The Netherlands,2023
6,2.77,40.99,74.28,1011.0,14962.0,451.9,Total,Population 6 years or older,Total,Value,Noord-Nederland (LD),2018
7,2.68,41.33,74.88,979.0,15086.0,455.5,Total,Population 6 years or older,Total,Value,Noord-Nederland (LD),2019
8,2.4,28.18,61.99,878.0,10314.0,378.1,Total,Population 6 years or older,Total,Value,Noord-Nederland (LD),2020
9,2.5,31.52,70.2,911.0,11506.0,427.1,Total,Population 6 years or older,Total,Value,Noord-Nederland (LD),2021
10,2.68,35.19,74.38,980.0,12843.0,452.5,Total,Population 6 years or older,Total,Value,Noord-Nederland (LD),2022
11,2.72,35.08,72.11,993.0,12803.0,438.6,Total,Population 6 years or older,Total,Value,Noord-Nederland (LD),2023
12,2.84,38.75,74.15,1038.0,14142.0,451.1,Total,Population 6 years or older,Total,Value,Oost-Nederland (LD),2018
13,2.76,38.61,74.06,1008.0,14091.0,450.6,Total,Population 6 years or older,Total,Value,Oost-Nederland (LD),2019
14,2.43,27.24,62.24,889.0,9970.0,379.7,Total,Population 6 years or older,Total,Value,Oost-Nederland (LD),2020
15,2.57,29.57,69.55,939.0,10794.0,423.1,Total,Population 6 years or older,Total,Value,Oost-Nederland (LD),2021
16,2.82,32.97,73.49,1030.0,12032.0,447.1,Total,Population 6 years or older,Total,Value,Oost-Nederland (LD),2022
17,2.82,34.85,73.35,1030.0,12719.0,446.2,Total,Population 6 years or older,Total,Value,Oost-Nederland (LD),2023
18,2.75,34.57,76.13,1005.0,12618.0,463.2,Total,Population 6 years or older,Total,Value,West-Nederland (LD),2018
